date,stock_code,split,label_excess_ret_5d,pred_lstm,fit_start_date,fit_end_date,train_samples,val_samples,best_epoch,trained_epochs,best_score
2025-11-04,688031,test,-0.0443955,-0.014251746,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,688045,test,-0.014598659,0.0007799193,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,688133,test,0.009604243,0.00021000952,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,688147,test,-0.020914437,-0.0009836182,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-04,688528,test,-0.026471043,0.004467286,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,600025,test,0.0020414414,0.0028599277,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,600051,test,0.019901741,0.00028204173,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,600127,test,0.008592068,-0.0010695681,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,600153,test,0.052023456,-0.0069122016,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,600548,test,-0.003086764,0.003219068,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,600865,test,0.02263671,-0.0060778856,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,600967,test,-0.07199615,-0.0040882453,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,601222,test,0.0069265873,-0.012782298,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,603237,test,0.026832683,-0.0029375777,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,603335,test,0.007954245,-0.0016632229,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,603341,test,-0.03559415,-0.0012487993,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,603658,test,0.033386603,-0.003022045,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,605090,test,0.013852315,-0.0072280243,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,605589,test,0.02826822,0.00064434856,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,688031,test,-0.049236044,-0.0019843876,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,688045,test,-0.015046734,0.0009114742,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,688133,test,0.007329903,-0.0005663261,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,688147,test,-0.028610194,-0.00073266774,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-05,688528,test,-0.026175937,0.0036478117,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,600025,test,-0.03109131,0.00074091554,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,600051,test,0.0032544923,-0.0038611144,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,600127,test,0.008786266,-0.0007473007,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,600153,test,0.063499235,-0.005723983,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,600548,test,-0.032996576,0.0009977669,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,600865,test,0.03049738,-0.0049306527,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,600967,test,-0.07021192,-0.0023054779,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,601222,test,0.0064039226,-0.010764055,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,603237,test,0.026748087,-0.0026386008,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,603335,test,0.04534089,0.0004317239,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,603341,test,-0.042760313,-0.0013486594,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,603658,test,0.012950506,-0.003780894,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,605090,test,-0.011219558,-0.01512567,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,605589,test,0.026857825,-0.000100277364,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,688031,test,-0.040288173,0.0040691197,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,688045,test,-0.03901777,0.00037833303,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,688133,test,0.024818921,-0.0013962239,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,688147,test,0.062127993,-0.003216423,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-06,688528,test,-0.043699898,0.004001938,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,600025,test,-0.038976055,0.00046024472,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,600051,test,0.016521644,-0.00097384304,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,600127,test,0.007212057,-0.0013174042,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,600153,test,0.048369065,-0.0054211244,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,600548,test,-0.03344447,0.0013307258,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,600865,test,0.051351696,-0.004055999,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,600967,test,-0.039311018,-0.00095083565,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,601222,test,-0.0123242475,-0.011331275,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,603237,test,0.022003938,-0.0017790422,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,603335,test,0.028984578,-0.001577504,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,603341,test,-0.059092708,-0.0025357157,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,603658,test,0.011240193,-0.0035842657,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,605090,test,-0.0074078264,-0.009584509,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,605589,test,-0.006318897,-0.0021903217,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,688031,test,-0.08917349,0.0071008503,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-11-07,688045,test,-0.028393673,-0.0010245293,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
